name,municipality,iata_code,type
Saattut Heliport,Saattut,SAE,heliport
Savissivik Heliport,Savissivik,SVR,heliport
Tasiusaq Heliport,Tasiusaq,TQA,heliport
Pituffik Space Base,Pituffik,THU,medium_airport
Tiniteqilaaq Heliport,Tiniteqilaaq,TQI,heliport
Tasiusaq Heliport,Tasiusak,XEQ,heliport
Upernavik Airport,Upernavik,JUV,small_airport
Uummannaq Heliport,Uummannaq,UMD,heliport
Qaarsut Airport,Uummannaq,JQA,small_airport
Ukkusissat Heliport,Ukkusissat,JUK,heliport
Bahía de los Ángeles Airport,Ensenada,BHL,small_airport
Brighton Downs Airport,Brighton Downs,BHT,small_airport
Akureyri Airport,Akureyri,AEY,medium_airport
Bildudalur Airport,Bildudalur,BIU,small_airport
Borgarfjörður eystri Airport,Borgarfjörður eystri,BGJ,small_airport
Bakkafjörður Airport,Bakkafjörður,BJD,small_airport
Hjaltabakki Airport,Blönduós,BLO,small_airport
Búðardalur Airport,Búðardalur,BQD,small_airport
Breiðdalsvík Airport,Breiðdalsvík,BXV,small_airport
Djúpivogur Airport,Djúpivogur,DJU,small_airport
Egilsstaðir Airport,Egilsstaðir,EGS,medium_airport
Fáskrúðsfjörður Airport,Fáskrúðsfjörður,FAS,small_airport
Fagurhólsmýri Airport,Fagurhólsmýri,FAG,small_airport
Grundarfjörður Airport,Grundarfjörður,GUU,small_airport
Gjögur Airport,Gjögur,GJR,small_airport
Grímsey Airport,Grímsey,GRY,small_airport
Hólmavík Airport,Hólmavík,HVK,small_airport
Hornafjörður Airport,Höfn,HFN,medium_airport
Holt Airport,Flateyri,FLI,small_airport
Húsavík Airport,Húsavík,HZK,medium_airport
Ingjaldssanður Airport,Onundarfjörður,HLO,small_airport
Ísafjörður Airport,Ísafjörður,IFJ,medium_airport
Keflavik International Airport,Reykjavík,KEF,large_airport
Kópasker Airport,Kópasker,OPA,small_airport
Sauðárkrókur Airport,Sauðárkrókur,SAK,small_airport
Norðfjörður Airport,Norðfjörður,NOR,small_airport
Ólafsfjörður Airport,Ólafsfjörður,OFJ,small_airport
Patreksfjörður Airport,Patreksfjörður,PFJ,small_airport
Reykhólar Airport,Reykhólar,RHA,small_airport
Rif Airport,Rif,OLI,small_airport
Raufarhöfn Airport,Raufarhöfn,RFN,small_airport
Reykjavik Airport,Reykjavik,RKV,medium_airport
Reykjahlíð Airport,Myvatn,MVA,small_airport
Siglufjörður Airport,Siglufjörður,SIJ,medium_airport
Stykkishólmur Airport,Stykkishólmur,SYK,small_airport
Þingeyri Airport,Þingeyri,TEY,small_airport
Þórshöfn Airport,Þórshöfn,THO,small_airport
Vestmannaeyjar Airport,Vestmannaeyjar,VEY,medium_airport
Vopnafjörður Airport,Vopnafjörður,VPN,small_airport
Baleela Airport,Baleela Base Camp,BJE,small_airport
Bahja Airport,Bahja,BJQ,small_airport
Bentota River Waterdrome,Bentota,BJT,seaplane_base
Priština Adem Jashari International Airport,Prishtina,PRN,medium_airport
Bomai Airport,Bomai,BMH,small_airport
Bamburi Airport,Bamburi,BMQ,small_airport
Bamu Airport,Bamu,BMZ,small_airport
Baranof Warm Springs Float and Seaplane Base,Baranof,BNF,seaplane_base
Bodinumu Airport,Bodinumu,BNM,small_airport
Bundi Airport,Bundi,BNT,small_airport
Boana Airport,Boana,BNV,small_airport
Rurrenabaque Airport,Rurrenabaque,RBQ,small_airport
Baures Airport,Baures,BVL,small_airport
Brookings Airport,Brookings,BOK,small_airport
Bosset Airport,Bosset,BOT,small_airport
Boang Airport,Boang Island,BOV,small_airport
Batuna Aerodrome,Batuna Mission Station,BPF,small_airport
Bartlett Cove Seaplane Base,Gustavus,BQV,seaplane_base
Pedro Vieira Moreira Airport,Cajazeiras,CJZ,small_airport
Glauber de Andrade Rocha Airport,Vitória da Conquista,VDC,medium_airport
Alenquer Municipal Airport,Alenquer,ALT,small_airport
Bimini North Seaplane Base,Bimini,NSB,seaplane_base
Bensbach Airport,Bensbach,BSP,small_airport
Besakoa Airport,Besakoa,BSV,small_airport
Betong International Airport,Betong,BTZ,medium_airport
Bulolo Airport,Bulolo,BUL,small_airport
Esperadinha Airport,Brava Island,BVR,small_airport
Hukuntsi Airport,Hukuntsi,HUK,small_airport
Bawan Airport,,BWJ,small_airport
Bewani Airport,Bewani,BWP,small_airport
Blue Lagoon Seaplane Base,Nanuya Lailai Island,BXL,seaplane_base
Bunsil Airport,Bunsil - Umboi Island,BXZ,small_airport
Orsha Airport - Balbasovo Air Base,Orsha,TXC,medium_airport
Boundary Airport,Boundary,BYA,small_airport
Bella Yella Airport,Beliyela,BYL,small_airport
Beira Lake Seaplane Base,Colombo,BYV,seaplane_base
Hector Silva Airstrip,Belmopan,BCV,small_airport
Big Creek Airport,Big Creek,BGK,small_airport
Caye Caulker Airport,Caye Caulker,CUK,medium_airport
Caye Chapel Airport,Caye Chapel,CYC,medium_airport
Corozal Airport,Corozal,CZH,medium_airport
Dangriga Airport,Dangriga,DGA,medium_airport
Independence Airport,Independence,INB,small_airport
Melinda Airport,Melinda,MDB,small_airport
H.E Alfredo Martinez (Tower Hill) Airstrip,Orange Walk,ORZ,small_airport
Placencia Airport,Placencia,PLJ,medium_airport
Punta Gorda Airport,Punta Gorda,PND,medium_airport
Sartaneja Airport,Sartaneja,SJX,medium_airport
John Greif II Airport,San Pedro,SPR,medium_airport
Matthew Spain Airport,Spanish Lookout,SQS,small_airport
Santa Cruz Airport,Santa Cruz,STU,small_airport
Silver Creek Airport,Silver Creek,SVK,small_airport
Sir Barry Bowen Municipal Airport,Belize City,TZA,medium_airport
Bazaruto Island Airport,Bazaruto Island,BZB,medium_airport
Bemolanga Airport,Bemolanga,BZM,small_airport
Primrose Airport,Primrose,PFM,small_airport
Saglek Airport,Saglek,YSV,small_airport
Stuart Island Airstrip,Big Bay,YRR,small_airport
Mary River Aerodrome,Mary River,YMV,small_airport
Hakai Passage Water Aerodrome,Hecate Island,YHC,seaplane_base
Montague Harbour Seaplane Base,Galiano Island,YMF,seaplane_base
Paradise Skypark Airport,Paradise,PYS,small_airport
Bedwell Harbour Seaplane Base,Bedwell Harbour,YBW,seaplane_base
Tofino Harbour Seaplane Base,Tofino,YTP,seaplane_base
Nanaimo Harbour Water Aerodrome,Nanaimo,ZNA,seaplane_base
Trail Regional Airport,Trail,YZZ,small_airport
Merritt Airport,Merritt,YMB,small_airport
Campbell River Seaplane Base,Campbell River,YHH,seaplane_base
Whistler/Green Lake Water Aerodrome,Whistler,YWS,seaplane_base
Bamfield Seaplane Base,Bamfield,YBF,seaplane_base
Big Bay Seaplane Base,Stuart Island,YIG,seaplane_base
Chilko Lake (Tsylos Park Lodge) Airport,Chilko Lake,CJH,small_airport
Pender Harbour Seaplane Base,Sunshine Coast,YPT,seaplane_base
Ocean Falls Seaplane Base,Ocean Falls,ZOF,seaplane_base
Courtenay Airpark,Courtenay,YCA,small_airport
Creston Valley Regional Airport - Art Sutcliffe Field,Creston,CFQ,small_airport
Anahim Lake Airport,Anahim Lake,YAA,medium_airport
Douglas Lake Airport,Douglas Lake,DGF,small_airport
Fort MacKay/Albian Aerodrome,Albian Village,JHL,small_airport
Tahsis Seaplane Base,Tahsis,ZTS,seaplane_base
Duncan Airport,Duncan,DUQ,small_airport
